,code,title,time,sdate,grade,audience,summary,thumb
29,182387,윤희에게,105,2,12세 관람가,121765,"다시 날 가슴 뛰게 만든 그 말
""윤희에게, 잘 지내니?""",https://movie-phinf.pstatic.net/20191203_217/1575347950420leqmB_JPEG/movie_image.jpg?type=m99_141_2
30,167600,사랑하고 있습니까,107,2,12세 관람가,12780,,https://movie-phinf.pstatic.net/20200306_60/1583457317291V7HF4_JPEG/movie_image.jpg?type=m99_141_2
31,191642,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,76,2,12세 관람가,1954,"""마음속의 두근거림이 멈추지 않아!!""",https://movie-phinf.pstatic.net/20200212_11/15814824204898eXba_JPEG/movie_image.jpg?type=m99_141_2
32,174758,모리의 정원,99,2,전체 관람가,2623,,https://movie-phinf.pstatic.net/20200316_196/15843230714220iTGt_JPEG/movie_image.jpg?type=m99_141_2
33,144754,선생님과 길고양이,107,2,전체 관람가,300,"“왜 그 고양이를 찾아요?”
“소중한 고양이니깐”",https://movie-phinf.pstatic.net/20200319_256/15846058991487vYG2_JPEG/movie_image.jpg?type=m99_141_2
34,189086,뱅드림! 필름 라이브,73,2,전체 관람가,19524,,https://movie-phinf.pstatic.net/20190910_178/1568093201930HCxMC_JPEG/movie_image.jpg?type=m99_141_2
35,142201,그 누구도 아닌,111,2,15세 관람가,2307,“그 누구도 하나의 인생을 살지는 않는다”,https://movie-phinf.pstatic.net/20200320_221/1584670987904hkMtx_JPEG/movie_image.jpg?type=m99_141_2
36,179414,기억의 전쟁,79,2,12세 관람가,1835,그곳엔 우리가 기억하지 못하는 이야기들이 있다,https://movie-phinf.pstatic.net/20200212_87/1581471190560PupSD_JPEG/movie_image.jpg?type=m99_141_2
37,180340,행복의 단추를 채우는 완벽한 방법,91,2,12세 관람가,1640,,https://movie-phinf.pstatic.net/20200319_34/158460654523606Qlo_JPEG/movie_image.jpg?type=m99_141_2
38,140895,러브 라이브! 더 스쿨 아이돌 무비,99,2,전체 관람가,133744,,https://movie-phinf.pstatic.net/20150821_231/14401205145729128K_PNG/movie_image.jpg?type=m99_141_2
39,185282,타오르는 여인의 초상,121,2,15세 관람가,147089,“후회하지 말고 기억해”,https://movie-phinf.pstatic.net/20191220_49/1576828214038i4ukE_JPEG/movie_image.jpg?type=m99_141_2
40,172181,비행,89,2,15세 관람가,0,,https://movie-phinf.pstatic.net/20200221_117/1582247793225LwylA_JPEG/movie_image.jpg?type=m99_141_2
41,181711,러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,100,2,전체 관람가,27220,,https://movie-phinf.pstatic.net/20190129_68/1548749435815O6OQS_JPEG/movie_image.jpg?type=m99_141_2
42,97612,그랜드 부다페스트 호텔,100,2,15세 관람가,821960,"세계 최고 부호 마담 D.의 피살사건!
전 세계를 매료시킨 황홀한 이야기가 다시 시작된다!",https://movie-phinf.pstatic.net/20180927_158/1538023433590U7S2w_JPEG/movie_image.jpg?type=m99_141_2
43,169263,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,117,2,15세 관람가,45241,,https://movie-phinf.pstatic.net/20190306_199/15518333925794IRYd_JPEG/movie_image.jpg?type=m99_141_2
44,169262,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,121,2,15세 관람가,43945,,https://movie-phinf.pstatic.net/20171103_177/1509693447074cM8AP_JPEG/movie_image.jpg?type=m99_141_2
45,179307,벌새,138,2,15세 관람가,146549,나는 이 세계가 궁금했다,https://movie-phinf.pstatic.net/20190805_121/1564969695835Iq9Qc_JPEG/movie_image.jpg?type=m99_141_2
46,156185,극장판 쿠로코의 농구 라스트 게임,91,2,12세 관람가,63430,"기적의 드림팀! 가장 흉한한 미국팀!
지금 맞이하는 운명의 LAST TIPOFF!!",https://movie-phinf.pstatic.net/20170414_125/1492154333194H9k8h_JPEG/movie_image.jpg?type=m99_141_2
47,148338,동급생,61,2,15세 관람가,39409,,https://movie-phinf.pstatic.net/20160512_180/1463033758820hrdUp_JPEG/movie_image.jpg?type=m99_141_2
48,159794,작가 미상,189,2,청소년 관람불가,13115,,https://movie-phinf.pstatic.net/20200131_93/15804377363533Xh72_JPEG/movie_image.jpg?type=m99_141_2
49,187308,조조 래빗,108,2,12세 관람가,110735,,https://movie-phinf.pstatic.net/20200212_4/1581471622059r6lmJ_JPEG/movie_image.jpg?type=m99_141_2
